hromada_code,hromada_name,raion_code,raion_name,oblast_code,oblast_name,type,hromada_full_name,hromada_center_code,hromada_center,lat_center,lon_center,travel_time,oblast_center
UA05020010000053508,Агрономічна,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,сільська,Агрономічна сільська громада,UA05020010010058853,Агрономічне,49.1927696,28.3720314,13.9,0
UA05020030000031457,Вінницька,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Вінницька міська громада,UA05020030010063857,Вінниця,49.2320162,28.467975,0.0,1
UA05020050000066991,Вороновицька,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Вороновицька селищна громада,UA05020050010084898,Вороновиця,49.1117881,28.6889425,28.9,0
UA05020070000010139,Гніванська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Гніванська міська громада,UA05020070010053570,Гнівань,49.0933696,28.338343,27.3,0
UA05020090000067118,Іллінецька,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Іллінецька міська громада,UA05020090010088788,Іллінці,49.1136358,29.2024356,65.0,0
UA05020110000052014,Липовецька,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Липовецька міська громада,UA05020110010028819,Липовець,49.2296415,29.0642148,47.9,0
UA05020130000056031,Літинська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Літинська селищна громада,UA05020130010017278,Літин,49.3232593,28.0837586,38.8,0
UA05020150000074651,Лука-Мелешківська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,сільська,Лука-Мелешківська сільська громада,UA05020150010063370,Лука-Мелешківська,49.173946,28.495565,12.2,0
UA05020170000049432,Немирівська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Немирівська міська громада,UA05020170010087489,Немирів,48.9654035,28.8430131,50.3,0
UA05020190000015755,Оратівська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Оратівська селищна громада,UA05020190010015141,Оратів,49.19472,29.53056,88.0,0
UA05020210000033427,Погребищенська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,міська,Погребищенська міська громада,UA05020210010023649,Погребище,49.4848166,29.2579157,79.5,0
UA05020230000029909,Стрижавська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Стрижавська селищна громада,UA05020230010011069,Стрижавка,49.3097584,28.4730593,14.2,0
UA05020250000055470,Сутисківська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Сутисківська селищна громада,UA05020250010092635,Сутиски,49.0453739,28.418232,32.5,0
UA05020270000044358,Тиврівська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Тиврівська селищна громада,UA05020270010097237,Тиврів,49.0139727,28.507999,31.7,0
UA05020290000092626,Турбівська,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,селищна,Турбівська селищна громада,UA05020290010087426,Турбів,49.339939,28.7260729,39.7,0
UA05020310000080026,Якушинецька,UA05020000000026686,Вінницький,UA05000000000010236,Вінницька,сільська,Якушинецька сільська громада,UA05020310010019628,Якушинці,49.259651,28.36672,13.5,0
UA05040010000022470,Бершадська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,міська,Бершадська міська громада,UA05040010010024726,Бершадь,48.36594,29.51889,159.5,0
UA05040030000050131,Гайсинська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,міська,Гайсинська міська громада,UA05040030010071792,Гайсин,48.8120874,29.3893874,97.6,0
UA05040050000080930,Дашівська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,селищна,Дашівська селищна громада,UA05040050010044288,Дашів,49.0062062,29.4416807,86.6,0
UA05040070000093188,Джулинська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Джулинська сільська громада,UA05040070010086984,Джулинка,48.4439535,29.7482193,169.5,0
UA05040090000093950,Краснопільська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Краснопільська сільська громада,UA05040090010040066,Краснопілка,48.797123,29.720028,122.3,0
UA05040110000042036,Кунківська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Кунківська сільська громада,UA05040110010046954,Кунка,48.820564,29.268541,87.1,0
UA05040130000025322,Ладижинська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,міська,Ладижинська міська громада,UA05040130010040578,Ладижин,48.6810505,29.2567642,108.9,0
UA05040150000077146,Ободівська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Ободівська сільська громада,UA05040150010062907,Ободівка,48.38597215,29.2002169047852,147.8,0
UA05040170000093514,Ольгопільська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Ольгопільська сільська громада,UA05040170010063746,Ольгопіль,48.184544,29.486103,171.0,0
UA05040190000039450,Райгородська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Райгородська сільська громада,UA05040190010066703,Райгород,48.875095,29.082228,69.1,0
UA05040210000068217,Соболівська,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,сільська,Соболівська сільська громада,UA05040210010098703,Соболівка,48.6148597,29.4832744,140.3,0
UA05040230000017028,Теплицька,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,селищна,Теплицька селищна громада,UA05040230010056657,Теплик,48.6636,29.74686,135.3,0
UA05040250000027965,Тростянецька,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,селищна,Тростянецька селищна громада,UA05040250010017575,Тростянець,48.51227,29.2226589,126.1,0
UA05040270000051651,Чечельницька,UA05040000000050292,Гайсинський,UA05000000000010236,Вінницька,селищна,Чечельницька селищна громада,UA05040270010051165,Чечельник,48.2126987,29.3598689,162.5,0
UA05060010000053179,Барська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,міська,Барська міська громада,UA05060010010059821,Бар,49.077621,27.6813781,70.7,0
UA05060030000026125,Джуринська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,сільська,Джуринська сільська громада,UA05060030010076661,Джурин,48.681271,28.292053,84.0,0
UA05060050000058111,Жмеринська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,міська,Жмеринська міська громада,UA05060050010030599,Жмеринка,49.0354593,28.1147317,50.5,0
UA05060070000012952,Копайгородська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,селищна,Копайгородська селищна громада,UA05060070010088900,Копайгород,48.85654,27.7985,77.0,0
UA05060090000058521,Мурафська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,сільська,Мурафська сільська громада,UA05060090010019738,Мурафа,48.768875,28.215824,77.9,0
UA05060110000027268,Северинівська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,сільська,Северинівська сільська громада,UA05060110010047621,Северинівка,49.047089,27.93755,56.9,0
UA05060130000030729,Станіславчицька,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,сільська,Станіславчицька сільська громада,UA05060130010067161,Станіславчик,48.97121,28.10989,59.1,0
UA05060150000094411,Шаргородська,UA05060000000061926,Жмеринський,UA05000000000010236,Вінницька,міська,Шаргородська міська громада,UA05060150010066273,Шаргород,48.7498267,28.08317,87.2,0
UA05080010000038400,Бабчинецька,UA05080000000040234,Могилів-Подільський,UA05000000000010236,Вінницька,сільська,Бабчинецька сільська громада,UA05080010010065551,Бабчинці,48.417961,28.160311,135.1,0
